Level1;Absolutecount
Drivers-Emissions;13
Drivers-Mitigation;16
Effects-Co benefits;19
Effects-General;6
Effects-Side effects;13
Problems-Barriers to mitigation;21
Problems-Burden sharing;7
Problems-Emissions projections;12
Problems-Historic emissions;26
Solutions-Good practice;15
Solutions-Actors-International government;2
Solutions-Actors-National government;3
Solutions-Actors-Organizations;2
Solutions-Costs and cost effectiveness;5
Solutions-Equity;2
Solutions-Timeline;7
Solutions-Policy-International policy;8
Solutions-Policy-Public policy;22
Solutions-Strategies-General;15
Solutions-Strategies-Behavioural change;3
Solutions-Strategies-Negative emissions;12
Solutions-Strategies-Technological change-Efficiency improvement;9
Solutions-Strategies-Technological change-Carrier decarbonization;18
Solutions-Targets-Demand reduction;3
Solutions-Targets-Emissions reduction;7
Solutions-Targets-Energy intensity reduction;2
Solutions-targets-Energy mix;3
Solutions-Targets-Investment;1
Solutions-Targets-Temperature change;12
Background information;17
Introductory information;21
Mathodological considerations;36
