Level1;Level2;Level3;Level4
Problems;Emissions drivers;;
Solutions;Mitigation drivers;;
Solutions;Effects;Co-benefits;
Solutions;Effects;Side effects;
Solutions;Effects;Undefined;
Problems;Barriers to mitigation;;
Problems;Burden sharing;;
Problems;Emissions projections;;
Problems;Historic emissions;;
Solutions;Good practice;;
Solutions;Actors;International government;
Solutions;Actors;National government;
Solutions;Actors;Organizations;
Solutions;Costs and cost-effectiveness;;
Solutions;Equity;;
Solutions;Timeline;;
Solutions;Policy;International policy;
Solutions;Policy;Public policy;
Solutions;Strategies;General;
Solutions;Strategies;Behaviour change;
Solutions;Strategies;Negative emissions;
Solutions;Strategies;Technological change;Efficiency improvement
Solutions;Strategies;Technological change;Carrier decarbonization
Solutions;Strategies;Undefined;
Solutions;Targets;;
Background information;;;
Introductory information;;;
Mathodological considerations;;;
